issue_date,series,security_type,cusip,maturity_date,rate,total_issue_amt,investor_class,allotment_amt
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.0004039
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"Dealers 
 and 
 brokers",21.678145
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"Depository 
 institutions",0.001
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"Foreign 
 and  
 international",1.880195
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,Individuals,1.0934146
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"Investment 
 funds",17.294519
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"Other 
 (see category 
 description)",0.056557
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-02,Bills,,912796TM1,2020-04-02,1.52,,"Total 
 issue",42.0042345
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.00025
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"Dealers 
 and 
 brokers",20.13494
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"Depository 
 institutions",0.007
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"Foreign 
 and  
 international",2.402
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,Individuals,0.2958307
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"Investment 
 funds",3.1602
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"Other 
 (see category 
 description)",0.0
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-02,Bills,,912796TY5,2020-12-31,1.55,,"Total 
 issue",26.0002207
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.0003461
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"Dealers 
 and 
 brokers",26.918684
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"Depository 
 institutions",0.005
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"Foreign 
 and  
 international",2.838
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,Individuals,0.6420952
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"Investment 
 funds",5.57987
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"Other 
 (see category 
 description)",0.0173
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-02,Bills,,912796UB3,2020-07-02,1.56,,"Total 
 issue",36.0012953
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.1333661
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"Dealers 
 and 
 brokers",15.52712
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"Depository 
 institutions",0.005
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"Foreign 
 and  
 international",0.6876
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,Individuals,1.6304709
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"Investment 
 funds",17.0939018
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"Other 
 (see category 
 description)",0.05575
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-07,Bills,,912796WR6,2020-02-04,1.5,,"Total 
 issue",35.1332088
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.133366
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"Dealers 
 and 
 brokers",18.9350525
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"Depository 
 institutions",0.505
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"Foreign 
 and  
 international",1.0992508
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,Individuals,0.2433947
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"Investment 
 funds",14.21782
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"Other 
 (see category 
 description)",0.0
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-07,Bills,,912796WV7,2020-03-03,1.515,,"Total 
 issue",35.133884
2020-01-09,Bills,,912796TQ2,2020-04-09,1.52,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.631077
2020-01-09,Bills,,912796TQ2,2020-04-09,1.52,,"Dealers 
 and 
 brokers",24.227565
2020-01-09,Bills,,912796TQ2,2020-04-09,1.52,,"Depository 
 institutions",0.507
2020-01-09,Bills,,912796TQ2,2020-04-09,1.52,,"Foreign 
 and  
 international",2.375643
2020-01-09,Bills,,912796TQ2,2020-04-09,1.52,,Individuals,1.1190607
